No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
8,"The cross-elasticity of demand between good P and good Q is –0.4. 
The cross-elasticity of demand between good P and good R is +0.6. 
Which combination of goods is most likely to be represented by this information? ",9708_w23_qp_11_8.png,,"A
B
C
D",C,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_11,Difficult,Analysis,9708_w23_qp_11_8
9,"he supply, S, of a product is determined by the equation 
S = 10 + 10P 
where P is the price of the product in $. 
What is the product’s price elasticity of supply when its price rises from $1 to $2? ",9708_w23_qp_11_9.png,,"A 0.5 
B 1.0 
C 2.0 
D 5.0",A,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_11,Medium,Understanding,9708_w23_qp_11_9
10,"In the diagram, the supply curve shows the number of spaces in a car park and the demand curves show the demand for spaces on four different days, D1, D2, D3 and D4. The owner wishes to charge a parking fee on each of these days to allocate the spaces according to the market mechanism. 
Which pricing policy should the owner use? ",9708_w23_qp_11_10.png,,"A set a fixed price at P1
B set a fixed price at P4
C vary prices between P2 and P3
D vary prices between P1 and P4",D,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_11,Difficult,Evaluation,9708_w23_qp_11_10
11,The table shows the demand schedule for textbooks. What can be concluded from this information? ,9708_w23_qp_11_11.png,,"A Profit would be maximised at a price of $30. 
B Profit would not change if the price rose from $20 to $30. 
C Revenue would increase if the price was decreased from $40 to $30. 
D Revenue would be maximised at a price of $40.",C,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_11,Easy,Recall,9708_w23_qp_11_11
12,Which event is most likely to enable firms to respond to an increase in demand by increasing supply rather than by raising price? ,9708_w23_qp_11_12.png,,"A Firms reduce their expenditure on the training of workers. 
B Import duties are increased on machines that increase the speed of production. 
C The government introduces buffer stock schemes for the goods produced by the firm. 
D Trade unions become strong, leading to poor labour productivity. ",C,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_11,Easy,Understanding,9708_w23_qp_11_12
13,"In the diagram, S1 is the supply curve and D1 is the initial demand for facemask X. A rival firm produces facemask Y, which is a close substitute. What would cause the demand curve to shift to D2? ",9708_w23_qp_11_13.png,,"A a decrease in the costs of the materials to make facemask X 
B a decrease in the costs of the materials to make facemask Y 
C an increase in the price of facemask X 
D an increase in the price of facemask Y ",D,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_11,Medium,Analysis,9708_w23_qp_11_13
14,A government introduces charges for vehicles using the roads in its capital city. Which characteristic must the roads have for this to be successful in reducing congestion? ,9708_w23_qp_11_14.png,,"A The roads must be excludable. 
B The roads must be merit goods. 
C The roads must be non-rivalrous. 
D The roads must be public goods. ",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_11,Medium,Understanding,9708_w23_qp_11_14
15,The table shows the tax an individual would pay at different levels of income. What is the average rate of taxation and the marginal rate of taxation for an individual with an annual income of $50 000? ,9708_w23_qp_11_15.png,9708_w23_qp_11_15_1,"A
B
C
D",B,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_11,Medium,Evaluation,9708_w23_qp_11_15
16,A government has increased output with no effect on the price level. What must have been the initial level of aggregate demand (AD)?,9708_w23_qp_11_16.png,,"A AD1 
B AD2 
C AD3 
D AD4",A,Topic 4: The macroeconomy,AS,9708_w23_qp_11,Medium,Application,9708_w23_qp_11_16
17,What is not included in the measurement of national income? ,9708_w23_qp_11_17.png,,"A benefits paid to the unemployed 
B dividends paid to shareholders 
C profits retained by companies 
D rent paid to landlords ",A,Topic 4: The macroeconomy,AS,9708_w23_qp_11,Easy,Recall,9708_w23_qp_11_17
18,"Four students have to fill in the gaps in the sentence shown. ‘A person is defined as unemployed if they are ......1...... to work at ......2...... wage rate, but cannot find a job despite an active search for work.’  Which student fills gaps 1 and 2 correctly? ",9708_w23_qp_11_18.png,,"A
B
C
D",D,Topic 4: The macroeconomy,AS,9708_w23_qp_11,Medium,Analysis,9708_w23_qp_11_18
19,Which statement best describes the consumer prices index (CPI)?,9708_w23_qp_11_19.png,,"A It is a measure of changes in the spending patterns of the average household. 
B It is a measure of changes in the standard of living of the average household. 
C It is a measure of the average change in prices of a basket of goods and services over time. 
D It is a measure of the level of prices of all goods and services. ",C,Topic 4: The macroeconomy,AS,9708_w23_qp_11,Medium,Understanding,9708_w23_qp_11_19
20,"The diagram shows the production possibility curves (PPCs) for country X and country Y, the only two countries in the world. Both countries produce just two goods, M and N. Under which terms of trade will both country X and country Y benefit from trading with each other? ",9708_w23_qp_11_20.png,,"A 1M for 0.75N 
B 1M for 0.8N 
C 1M for 1N 
D 1M for 2N ",B,Topic 4: The macroeconomy,AS,9708_w23_qp_11,Medium,Analysis,9708_w23_qp_11_20
21,Why is increased government provision of education most likely to shift the aggregate demand curve to the right?,9708_w23_qp_11_21.png,,"A It will increase aggregate supply. 
B More schools will be built. 
C The government will have to raise taxes. 
D Workers will be more highly skilled. ",B,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_11,Easy,Recall,9708_w23_qp_11_21
22,Which item is not included in the current account of a country’s balance of payments?,9708_w23_qp_11_22.png,,"A exports of services 
B interest on foreign loans 
C profits from foreign investments 
D the purchase of foreign assets ",D,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_11,Easy,Understanding,9708_w23_qp_11_22
23,Under which conditions will nominal GDP and real GDP increase at the same rate in an economy?,9708_w23_qp_11_23.png,,"A
B
C
D",C,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_11,Medium,Understanding,9708_w23_qp_11_23
24,General equilibrium in the macroeconomy is achieved when total injections are equal to total leakages. What is most likely to cause disequilibrium in the macroeconomy in the short run? ,9708_w23_qp_11_24.png,,"A an increase in government spending of $10bn and a decrease in exports of $10bn 
B an increase in investment of $30bn and a decrease in household savings of $30bn 
C an increase in spending on imports of $40bn and an increase in government spending of $40bn 
D an increase in taxation of $40bn and a decrease in spending on imports of $40bn ",B,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_11,Medium,Understanding,9708_w23_qp_11_24
25,What would be the most likely reason for a decrease in frictional unemployment?,9708_w23_qp_11_25.png,,"A more capital-intensive manufacturing 
B more demand for public sector workers 
C more government spending on education 
D more information on labour market vacancies ",D,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_11,Medium,Application,9708_w23_qp_11_25
26,A Kenyan banker who lives and works in India sends 15% of their wage back to Kenya every month. What would be the change in the current account components for either country? ,9708_w23_qp_11_26.png,,"A a fall in secondary income for India 
B an increase in the balance of trade in services for Kenya 
C an increase in the current account surplus for India 
D an increase in primary income for Kenya ",A,Topic 6: International economic issues,AS,9708_w23_qp_11,Medium,Analysis,9708_w23_qp_11_26
27,"Over a period of a year, the annual rate of inflation becomes negative. Which statement must be correct?",9708_w23_qp_11_27.png,,"A The cost of living has fallen. 
B The purchasing power of money has fallen. 
C The standard of living has increased. 
D There has been an increase in the Consumer Price Index. ",A,Topic 6: International economic issues,AS,9708_w23_qp_11,Easy,Recall,9708_w23_qp_11_27
28,The government of a country plans to raise income tax rates. The initial equilibrium for the country is represented by point X on the diagram. Which new equilibrium point would an economist predict as the result? ,9708_w23_qp_11_28.png,,"A
B
C
D",D,Topic 6: International economic issues,AS,9708_w23_qp_11,Medium,Analysis,9708_w23_qp_11_28
29,Which combination would represent the most expansionary set of monetary policies?,9708_w23_qp_11_29.png,,"A
B
C
D",B,Topic 6: International economic issues,AS,9708_w23_qp_11,Medium,Understanding,9708_w23_qp_11_29
30,An economy is experiencing accelerating cost-push inflation. Which group is likely to be least concerned by this?,9708_w23_qp_11_30.png,,"A borrowers 
B consumers 
C creditors 
D exporters ",A,Topic 6: International economic issues,AS,9708_w23_qp_11,Difficult,Application,9708_w23_qp_11_30
1,"PPC is the production possibility curve in country T. Which changes take place in country T’s opportunity costs of producing X as it increases 
production of X? ",9708_w23_qp_12_1.png,,"A Opportunity costs are constant between points 1 and 2, and between points 3 and 4. 
B Opportunity costs decrease between points 1 and 2, and increase between points 3 and 4. 
C Opportunity costs decrease between points 1 and 2, and between points 3 and 4. 
D Opportunity costs increase between points 1 and 2, and between points 3 and 4. ",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_12,Easy,Understanding,9708_w23_qp_12_1
2,What is considered the essential requirement for all entrepreneurs? ,9708_w23_qp_12_2.png,,"A attracting customers 
B buying stock 
C managing staff 
D taking risks",D,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_12,Easy,Recall,9708_w23_qp_12_2
3,A new section of a road is provided toll-free by the government. What best describes this good?,9708_w23_qp_12_3.png,,"A a demerit good 
B a free good 
C a private good 
D a public good ",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_12,Medium,Analysis,9708_w23_qp_12_3
4,Eastern European nations have changed from planned to market economies. Which policy was least likely to have been adopted? ,9708_w23_qp_12_4.png,,"A allowing prices to fluctuate 
B keeping established economic organisations 
C privatising essential industries 
D permitting changes in the money supply ",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_12,Medium,Analysis,9708_w23_qp_12_4
5,Rice and pasta are both basic foods in a country. How would a health scare concerning rice affect the market for pasta?,9708_w23_qp_12_5.png,,"A There will be a shift of demand and a contraction of supply. 
B There will be a shift of demand and an extension of supply. 
C There will be a shift of supply and a contraction of demand. 
D There will be a shift of supply and an extension of demand. ",B,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_12,Difficult,Application,9708_w23_qp_12_5
6,Some goods are over-consumed in a market economy. What is likely to be the cause of this? ,9708_w23_qp_12_6.png,,"A Consumer surplus exceeds producer surplus. 
B Consumers undervalue the benefits of consuming the goods. 
C There is excess supply in the market for the goods. 
D There is imperfect information in the market. ",D,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_12,Medium,Understanding,9708_w23_qp_12_6
7,"A family is willing to pay a maximum of $600, $500 and $400 for air tickets for the mother, father and daughter to attend a wedding in another city. The airline announces a promotional air fare of $450 per ticket, provided at least three tickets are purchased. What will be the consumer surplus gained by the family if they use the promotional offer?",9708_w23_qp_12_7.png,,"A $100 
B $150 
C $200 
D $250 ",B,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_12,Easy,Understanding,9708_w23_qp_12_7
8,"After a 10% decrease in a consumer’s income, the consumer’s demand for a good rises from 100 to 105. What is the value of the consumer’s income elasticity of demand for this good?",9708_w23_qp_12_8.png,,"A –2.0 
B –0.5 
C +0.5 
D +2.0 ",B,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_12,Difficult,Evaluation,9708_w23_qp_12_8
9,"In 2010, poor harvests reduced fruit crops and furniture producers gave big discounts on furniture products. How might these changes have affected the position of the supply curve for the products? ",9708_w23_qp_12_9.png,,"A
B
C
D",B,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_12,Easy,Recall,9708_w23_qp_12_9
10,"In the diagram, D and S represent the demand for and supply of smartphones. Many components used in the production of smartphones are imported. The initial equilibrium is at point X. The exchange rate has depreciated at the same time as the price of a complementary good decreased. Which point in the diagram could represent the new equilibrium?",9708_w23_qp_12_10.png,,"A
B
C
D",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_12,Easy,Understanding,9708_w23_qp_12_10
11,"The diagrams show the demand for and the supply of houses. In the short run, the stock of houses for sale, S1, is fixed. A government decides to allow some agricultural land to be used for building houses and subsidises lower-income buyers of the new houses. Which diagram shows the long-run situation? ",9708_w23_qp_12_11.png,,"A
B
C
D",D,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_12,Medium,Analysis,9708_w23_qp_12_11
12,"The equation for the quantity demanded, QD, for a product is 
QD = 400 – 20P 
where P = price in $. The quantity supplied, QS, is given by QS = 100 + 40P. 
Which change will occur if the price rises from $5 to $6?",9708_w23_qp_12_12.png,,"A The market will move from equilibrium to shortage. 
B The market will move from equilibrium to surplus. 
C The market will move from shortage to surplus. 
D The market will move from surplus to shortage. ",B,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_12,Medium,Analysis,9708_w23_qp_12_12
13,What is the most likely cause of the continuous increase in prices of famous paintings by now dead artists? ,9708_w23_qp_12_13.png,,"A the increasing technological ability to copy famous paintings perfectly 
B the popular view that famous paintings are an appreciating asset 
C the totally inelastic supply of famous paintings by dead artists 
D the wish of governments to treat art galleries as merit goods ",B,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_12,Medium,Analysis,9708_w23_qp_12_13
14,What is most likely to be regressive? ,9708_w23_qp_12_14.png,,"A corporate profit taxes 
B state pension benefits 
C specific tax on cigarettes 
D unemployment benefits ",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_12,Difficult,Evaluation,9708_w23_qp_12_14
15,What is necessary for an action to be classed as a transfer payment? ,9708_w23_qp_12_15.png,,"A It must include a cash payment. 
B It must involve a banking transaction. 
C It must originate from government activity. 
D It must relate to a non-productive activity. ",D,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_12,Medium,Application,9708_w23_qp_12_15
16,The government imposes a specific indirect tax of $1 on each unit of a good sold. How does the imposition of the tax shift the demand or supply curve of the good?,9708_w23_qp_12_16.png,,"A The demand curve of the good will shift vertically downwards by $1. 
B The demand curve of the good will shift vertically upwards by $1. 
C The supply curve of the good will shift vertically downwards by $1. 
D The supply curve of the good will shift vertically upwards by $1. ",D,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Medium,Application,9708_w23_qp_12_16
17,Which term relates to a fall in the domestic real value of a currency? ,9708_w23_qp_12_17.png,,"A deflation 
B depreciation 
C appreciation 
D inflation ",D,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Medium,Analysis,9708_w23_qp_12_17
18,What must be the result for a country of a rise in its export prices relative to its import prices? ,9708_w23_qp_12_18.png,,"A a deficit in its trade in goods 
B an improvement in its terms of trade 
C an increase in its inflation rate 
D a rise in its exchange rate ",B,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Easy,Recall,9708_w23_qp_12_18
19,Country X can produce a product at a lower opportunity cost than country Y. Which term best describes this statement? ,9708_w23_qp_12_19.png,,"A absolute advantage 
B comparative advantage 
C specialisation 
D terms of trade ",B,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Medium,Analysis,9708_w23_qp_12_19
20,"For a given year, economy X publishes the following. What is the size of the Gross National Income (GNI) for country X? ",9708_w23_qp_12_20.png,,"A $75bn 
B $85bn 
C $110bn 
D $115bn ",B,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Difficult,Evaluation,9708_w23_qp_12_20
21,Which combination is possible for an economy experiencing zero inflation? ,9708_w23_qp_12_21.png,,"A
B
C
D",A,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Difficult,Analysis,9708_w23_qp_12_21
22,The graph shows the rate of inflation in Japan from April 2020 to February 2021. Over which period did disinflation occur in Japan?,9708_w23_qp_12_22.png,,"A July 2020 to February 2021 
B July 2020 to September 2020 
C October 2020 to December 2020 
D October 2020 to February 2021 ",B,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Medium,Understanding,9708_w23_qp_12_22
23,"The diagram shows three production possibility curves (PPC) for a country, labelled 3, 2 and 1. The original PPC for the country is 2. This country experiences a fall in its working population and then this is followed by a long period of recession. If an increase in GDP then takes place, what is the increase in production? ",9708_w23_qp_12_23.png,,"A r to s 
B r to u 
C s to t 
D t to u",A,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Difficult,Application,9708_w23_qp_12_23
24,"A government increases the rate of income tax. What is the effect, in the short run, on the aggregate demand curve or the aggregate supply curve? ",9708_w23_qp_12_24.png,,"A The aggregate demand curve shifts left. 
B The aggregate demand curve shifts right. 
C The aggregate supply curve shifts left. 
D The aggregate supply curve shifts right. ",A,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Easy,Recall,9708_w23_qp_12_24
25,A country’s current account deficit is larger this year than last. What is the most likely reason for this increase? ,9708_w23_qp_12_25.png,,"A Demand for domestically produced goods has risen. 
B Domestic inflation has risen faster than the inflation of its major trading partners. 
C Domestic unemployment has risen. 
D The exchange rate has depreciated. ",B,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_12,Difficult,Evaluation,9708_w23_qp_12_25
26,Which supply-side measure is most likely to produce short-run growth in a country’s aggregate supply?,9708_w23_qp_12_26.png,,"A easing of controls on immigration of workers
B expenditure on primary education 
C expenditure on research and development 
D privatisation of public utilities ",A,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_12,Difficult,Analysis,9708_w23_qp_12_26
27,Which tax may a government use to reduce inequality? ,9708_w23_qp_12_27.png,,"A progressive income tax 
B proportionate income tax 
C proportionate indirect tax 
D specific indirect tax ",A,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_12,Medium,Understanding,9708_w23_qp_12_27
28,A foreign government pays a UK university to educate its students. How would this be recorded on the balance of payments current account of the UK? ,9708_w23_qp_12_28.png,,"A
B
C
D",C,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_12,Medium,Understanding,9708_w23_qp_12_28
29,A government wants to reduce inflation. It has decided to cut government spending by $1bn. The diagram shows different starting positions for the country’s aggregate demand (AD) curve. Which starting position for the aggregate demand curve would make this policy least effective? ,9708_w23_qp_12_29.png,,"A AD1 
B AD2 
C AD3 
D AD4",A,Topic 4: The macroeconomy,AS,9708_w23_qp_12,Difficult,Analysis,9708_w23_qp_12_29
30,A government reduces the rate of tax firms are charged on their land and buildings. How is this likely to affect the economy’s price level and real output?,9708_w23_qp_12_30.png,,"A
B
C
D",B,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_12,Difficult,Evaluation,9708_w23_qp_12_30
1,A factory introduces an automated production line to take advantage of division of labour. What is most likely to increase? ,9708_w23_qp_13_1.png,,"A average cost of production 
B job satisfaction of workers 
C range of skills of each worker 
D worker productivity",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_13,Easy,Understanding,9708_w23_qp_13_1
2,Consumers do not use enough of a product to maximise their private benefit because they have imperfect information about the product. How would an economist classify this product? ,9708_w23_qp_13_2.png,,"A demerit good 
B free good 
C merit good 
D public good",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_13,Medium,Analysis,9708_w23_qp_13_2
3,The table shows different combinations of rings and bracelets that can be produced by Luke and Zoe in the same time period. Which statement is not correct? ,9708_w23_qp_13_3.png,,"A Luke has a larger opportunity cost than Zoe for making bracelets. 
B The opportunity cost of producing rings is constant for both Luke and Zoe. 
C Zoe should specialise in making rings. 
D Zoe’s opportunity cost for each bracelet is 2 rings. ",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_13,Medium,Analysis,9708_w23_qp_13_3
4,What is an example of a free good? ,9708_w23_qp_13_4.png,,"A a government sponsoring a free vaccination programme for its citizens 
B a hospital providing free treatment to the poor 
C a school providing free education to outstanding students 
D anything that provides free utility but is not scarce ",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_13,Easy,Understanding,9708_w23_qp_13_4
5,The diagram shows the market for computers in Pakistan. Which areas represent consumer surplus and consumer expenditure? ,9708_w23_qp_13_5.png,9708_w23_qp_13_5_1,"A
B
C
D",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_w23_qp_13,Easy,Recall,9708_w23_qp_13_5
6,The supply curve for a firm is a horizontal straight line. What can be concluded from this statement?,9708_w23_qp_13_6.png,,"A Quantity supplied is infinite at the given price. 
B Quantity supplied is infinite below the given price. 
C Quantity supplied remains constant at all prices. 
D Quantity supplied is perfectly inelastic.",A,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_13,Easy,Application,9708_w23_qp_13_6
7,"When the incomes of consumers of good X fall by 5%, under which conditions will the demand curve shift furthest to the right? ",9708_w23_qp_13_7.png,,"A
B
C
D",B,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_13,Medium,Analysis,9708_w23_qp_13_7
8,Good P and good Q are substitutes. There is a decrease in supply of good P because of a shortage of materials. Which row describes what will happen to demand? ,9708_w23_qp_13_8.png,,"A
B
C
D",B,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_13,Medium,Analysis,9708_w23_qp_13_8
9,The pressure to reduce the use of fossil fuels has led to oil companies reducing the level of investment in the exploration of new reserves. What will be the long-run effect of such a policy on the market for oil? ,9708_w23_qp_13_9.png,,"A
B
C
D",C,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_13,Difficult,Evaluation,9708_w23_qp_13_9
10,The price elasticity of demand for a product is –0.6. The supplier wants to clear all surplus stock of a product and reduces the price of a good by 50%. What is the effect of this price change on the quantity purchased and the expenditure on the good? ,9708_w23_qp_13_10.png,,"A
B
C
D",A,Topic 2: The price system and the microeconomy,AS,9708_w23_qp_13,Easy,Application,9708_w23_qp_13_10
11,A firm is producing 100 units at a price of $10. The price elasticity of supply is 0.5 and the price is raised to $12. What is the new level of output?,9708_w23_qp_13_11.png,,"A 75 
B 110 
C 125 
D 150 ",B,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_13,Easy,Recall,9708_w23_qp_13_11
12,"In a town, bus fares fall by 50% and this leads to an increase in bus use by 30%. The effect on car use is very low with only a 1% reduction. What is the value of the cross-elasticity of demand between car travel and bus travel?",9708_w23_qp_13_12.png,,"A –0.60 
B –0.02 
C +0.02 
D +0.60",C,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_13,Easy,Recall,9708_w23_qp_13_12
13,"In the diagram, the demand and supply curves for wheat in Australia are shown. Initial equilibrium is at X. The government imposes a sales tax on wheat at the same time as increasing the rate of income tax. Which point could represent the new equilibrium?",9708_w23_qp_13_13.png,,"A
B
C
D",D,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_13,Medium,Application,9708_w23_qp_13_13
14,A free market is currently experiencing excess supply at a price of P1. What will be the effect on the current market situation if a maximum price is set above P1?,9708_w23_qp_13_14.png,,"A The excess supply will increase. 
B The market will move into an equilibrium position. 
C There will be no effect. 
D There will be excess demand. ",C,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_13,Difficult,Evaluation,9708_w23_qp_13_14
15,What is a likely disadvantage of a government’s provision of transfer payments to the unemployed? ,9708_w23_qp_13_15.png,,"A decrease in the standard of living 
B disincentive to accept paid work 
C increase in inequality 
D increase in poverty ",B,Topic 3: Government microeconomic intervention,AS,9708_w23_qp_13,Difficult,Analysis,9708_w23_qp_13_15
16,Which combination of policies would increase the inequality of the distribution of income and wealth? ,9708_w23_qp_13_16.png,,"A
B
C
D",B,Topic 4: The macroeconomy,AS,9708_w23_qp_13,Easy,Understanding,9708_w23_qp_13_16
17,Which changes will increase the circular flow of income?,9708_w23_qp_13_17.png,,"A
B
C
D",D,Topic 4: The macroeconomy,AS,9708_w23_qp_13,Easy,Recall,9708_w23_qp_13_17
18,An economy in equilibrium has a trade deficit of $20bn and a budget surplus of $20bn. Investment spending is $50bn. What is the total saving? ,9708_w23_qp_13_18.png,,"A $5bn 
B $10bn 
C $15bn 
D $20bn ",B,Topic 4: The macroeconomy,AS,9708_w23_qp_13,Easy,Recall,9708_w23_qp_13_18
19,A finance company incurs heavy losses and makes an accountant redundant.  The accountant seeks a new job through an employment agency which specialises in jobs in accounting. What describes the type of unemployment of the accountant who is seeking a new job? ,9708_w23_qp_13_19.png,,"A frictional 
B seasonal 
C structural 
D technological ",A,Topic 4: The macroeconomy,AS,9708_w23_qp_13,Easy,Understanding,9708_w23_qp_13_19
20,An aggregate demand curve slopes downwards from left to right. One reason for this is that a reduction in the average price level will lead to,9708_w23_qp_13_20.png,,"A a decline in the country’s international competitiveness. 
B an increase in interest rates. 
C an increase in the real value of money balances. 
D the expectation of further price falls. ",C,Topic 4: The macroeconomy,AS,9708_w23_qp_13,Medium,Analysis,9708_w23_qp_13_20
21,Which components are included as primary income in the current account of the balance of payments? ,9708_w23_qp_13_21.png,,"A
B
C
D",D,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Easy,Recall,9708_w23_qp_13_21
22,What is not included in the measurement of national income? ,9708_w23_qp_13_22.png,,"A dividends paid to shareholders 
B overtime payments 
C rents from government-owned houses 
D welfare benefit payments ",D,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Medium,Analysis,9708_w23_qp_13_22
23,The graph shows the rate of inflation for seven countries for 2015 and 2016. What can be concluded from this graph? ,9708_w23_qp_13_23.png,,"A Prices in Costa Rica rose in 2015 but remained constant in 2016. 
B Prices in Ecuador and Mauritius were lower in 2016 than in 2015. 
C Prices in India and Malaysia remained constant in 2016 and 2015. 
D Prices in Thailand and Japan were lower in 2016 than in 2015. ",A,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Difficult,Application,9708_w23_qp_13_23
24,"Country R and country S are going to trade 1 unit of product X for 2 1 unit of product Y. 
With a given amount of resources: 
 country R can produce either 30 units of product X or 50 units of product Y 
 country S can produce either 20 units of product X or 25 units of product Y. 
Which statement is correct, according to the theory of comparative advantage?",9708_w23_qp_13_24.png,,"A Free trade will benefit both R and S. 
B Free trade will benefit neither R nor S. 
C Free trade will benefit R but not S. 
D Free trade will benefit S but not R.",A,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Easy,Understanding,9708_w23_qp_13_24
25,What is the most likely cause of a current account deficit on the balance of payments? ,9708_w23_qp_13_25.png,,"A an undervalued exchange rate 
B a relatively low rate of inflation 
C a shrinking domestic economy 
D a general fall in national productivity ",D,Topic 4: The macroeconomy,AS,9708_w23_qp_13,Easy,Recall,9708_w23_qp_13_25
26,The diagram shows the long-run aggregate supply (LRAS) and aggregate demand (AD) curves for an economy. The initial equilibrium is at point X.  Which combination of monetary policies will shift the equilibrium position to point Y? ,9708_w23_qp_13_26.png,9708_w23_qp_13_26_1,"A
B
C
D",C,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Difficult,Application,9708_w23_qp_13_26
27,The government undertakes a policy of financing training and retraining for unemployed workers. Which terms are most likely be used to classify this policy?,9708_w23_qp_13_27.png,,"A
B
C
D",D,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Medium,Understanding,9708_w23_qp_13_27
28,Which combination of initial equilibrium and supply-side policy is likely to be least effective when attempting to increase the real output of an economy? ,9708_w23_qp_13_28.png,,"A
B
C
D",A,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Difficult,Analysis,9708_w23_qp_13_28
29,"A government aims to reduce unemployment through expansionary fiscal policy and borrows more from the commercial banks, increasing its borrowing requirement. What will be the result?",9708_w23_qp_13_29.png,,"A a decrease in the budget deficit 
B a decrease in the national debt 
C an increase in the balance of payments deficit on the current account 
D an increase in the interest rates",D,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Difficult,Analysis,9708_w23_qp_13_29
30,A government wants to use an expansionary monetary policy. What should the government increase? ,9708_w23_qp_13_30.png,,"A credit regulations 
B the exchange rate 
C the interest rate 
D the money supply",D,Topic 5: Government macroeconomic intervention,AS,9708_w23_qp_13,Difficult,Evaluation,9708_w23_qp_13_30
1,Why does a production possibility curve exist for every economy?,9708_m24_qp_12_1.png,,"A Resources are unlimited.
B Resources have alternative uses.
C Some resources can be imported.
D Some resources may be unemployed.",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_m24_qp_12,Easy,Recall,9708_m24_qp_12_1
2,Which statement is a normative statement? ,9708_m24_qp_12_2.png,,"A Aggregate demand will increase following a decrease in interest rates.
B A rise in unemployment will decrease inflationary pressures.
C The incentive to work will rise if benefit payments are reduced.
D Unsustainable economic growth is more harmful to the economy than hyperinflation. 
",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_m24_qp_12,Medium,Analysis,9708_m24_qp_12_2
3,"Which combination best describes the basic economic problem? 
",9708_m24_qp_12_3.png,,"A
B
C
D",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_m24_qp_12,Easy,Recall,9708_m24_qp_12_3
